,product_name,brand_name,current_price,original_price,discounted,number_of_reviews,number_of_stars,product_shipping,page,page_rank
1653,"OtterBox Defender Series Case for iPhone X & iPhone Xs (ONLY), Case Only - Bulk Packaging - (Blaze Orange/Black W/Realtree Xtra CAMO)",OtterBox,$19.95,$19.95,False,7,4.4 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],6,20
1654,"NEW OtterBox SYMMETRY SERIES Case for iPhone 6/6s (4.7"" Version) - Retail Packaging - PREVAIL (CORAL/GUNMETAL GREY)",OtterBox,$17.99,$17.99,False,"1,896",3.9 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],6,21
1655,OtterBox SYMMETRY SERIES Case for  iPhone 8 Plus & iPhone 7 Plus (ONLY) - Frustration Free Packaging - BLACK,OtterBox,$24.31,$24.31,False,"4,187",4.1 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],6,22
1656,Rugged Protection OtterBox Defender Series Case for iPhone 6/6s - Bulk Packaging - Realtree MAX 5 (Blaze Orange/Black/MAX 5 Design,OtterBox,$19.95,$19.95,False,532,4.6 out of 5 stars,['$4.48 shipping'],6,23
1657,OtterBox Symmetry Series Slim Case for iPhone 8 Plus & iPhone 7 Plus (ONLY) - Non-Retail Packaging - Aloha Ombre,OtterBox,$34.97,$34.97,False,602,4.5 out of 5 stars,[],6,24
1658,OtterBox DEFENDER iPhone 6 Plus/6s Plus Case - Frustration Free Packaging - INDIGO HARBOR (ROYAL BLUE/ADMIRAL BLUE),OtterBox,$22.26,$22.26,False,918,4.5 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],6,25
1659,OtterBox STRADA SERIES Case for  iPhone 8 Plus & iPhone 7 Plus (ONLY) - Retail Packaging - SHADOW (BLACK/PEWTER),OtterBox,$34.22,$34.22,False,202,4.5 out of 5 stars,[],6,26
1660,"OtterBox SYMMETRY SERIES Case for iPhone SE, iPhone 5S, iPhone 5 - Non-Retail Packaging - ROSSO CORSA",OtterBox,$20.97,$20.97,False,15,4.5 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],6,27
1661,OtterBox SYMMETRY SERIES Case for iPhone Xs Max - Retail Packaging - BLACK,OtterBox,$24.27,$49.95,True,889,4.4 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],6,28
1662,OtterBox COMMUTER SERIES iPhone 6/6s Case - Retail Packaging - AQUA SKY (AQUA BLUE/LIGHT TEAL),OtterBox,$23.55,$34.95,True,"2,102",4.2 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],6,29
1663,"OtterBox Defender Series Case for Apple iPhone SE, iPhone 5s, iPhone 5 (Case Only, No Holster) - Non-Retail Packaging - Hibiscus Pink/Whetstone Blue",OtterBox,$17.99,$17.99,False,28,4.8 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],6,30
1664,OtterBox Symmetry Series Case for iPhone 6s Plus & iPhone 6 Plus - Non-Retail Packaging - Teal Marble,OtterBox,$27.99,$27.99,False,21,4.4 out of 5 stars,[],6,31
1665,OtterBox Defender Series Case for iPhone 6s Plus & iPhone 6 Plus (Case only - No Holster) Non-Retail Packaging - Aqua Blue/Hibiscus Pink,OtterBox,N/A,N/A,N/A,259,4.6 out of 5 stars,[],6,32
1666,OtterBox DEFENDER SERIES SCREENLESS EDITION Case for iPhone Xs & iPhone X - Frustration Free Packaging - BLACK,OtterBox,$32.99,$32.99,False,300,4.4 out of 5 stars,[],6,33
1667,OtterBox STRADA SERIES Case for iPhone Xs Max - Retail Packaging - ESPRESSO (DARK BROWN/WORN BROWN LEATHER),OtterBox,$29.90,$59.95,True,169,4.5 out of 5 stars,[],6,34
1668,OtterBox Symmetry Series Case for iPhone 8 & iPhone 7 (NOT Plus) - Bulk Packaging - Purple Marble,OtterBox,$19.95,$19.95,False,2,4.0 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],6,35
1669,OtterBox Strada Series Case for iPhone Xs & iPhone X - Retail Packaging - Royal Blush (Winter Bloom/Cameo Rose),OtterBox,$26.90,$26.90,False,440,4.0 out of 5 stars,[],6,36
1670,OtterBox Defender Series Case for iPhone Xs & iPhone X - Non-Retail Packaging - Big Sur,OtterBox,$22.97,$22.97,False,9,4.7 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],6,37
1671,OtterBox DEFENDER SERIES SCREENLESS EDITION Case for iPhone Xs & iPhone X - Retail Packaging - BIG SUR (PALE BEIGE/CORSAIR),OtterBox,$19.93,$49.95,True,"2,011",4.2 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],6,38
1672,"OtterBox Commuter Series Case for iPhone 6 Plus/6s Plus (5.5"" Version) - Frustration Free Packaging - Glacier (White/Gunmetal Grey)",OtterBox,$27.19,$27.19,False,702,4.3 out of 5 stars,[],6,39
1673,"OtterBox Symmetry Clear Series Case for iPhone 6/6s (4.7"" Version) - Bulk Packaging - Clear (Clear/Clear)",OtterBox,$19.95,$19.95,False,94,4.0 out of 5 stars,[],6,40
1674,OtterBox DEFENDER SERIES Case for iPhone 5/5s/SE - Frustration Free Packaging - KEY LIME (GLOW GREEN/SLATE GREY),OtterBox,$26.43,$26.43,False,440,4.6 out of 5 stars,[],6,41
1675,"OtterBox Commuter Series Case for iPhone 5, 5S and SE - Bulk Packaging - Black",OtterBox,$18.95,$18.95,False,14,4.6 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],6,42
1676,OtterBox 77-57081 SYMMETRY SERIES Case for iPhone X (ONLY) - BLACK - Renewed,OtterBox,$11.99,$11.99,False,52,4.6 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],6,43
1677,OtterBox Symmetry Series Cell Phone Case for iPhone 8 & iPhone 7 - Anegada by Trefle,OtterBox,$31.15,$31.15,False,55,4.8 out of 5 stars,[],6,44
1678,OtterBox Strada Series Case for iPhone XR - Retail Packaging - Espresso (Dark Brown/Worn Brown Leather),OtterBox,$35.68,$59.95,True,111,4.5 out of 5 stars,[],6,45
1679,OtterBox SYMMETRY SERIES Case for iPhone 6/iPhone 6s - Retail Packaging - TEAL ROSE II (LIGHT TEAL/BLAZE PINK),OtterBox,$21.95,$21.95,False,306,4.1 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],6,46
